maternalID	individualID	array#	flowerPosition	dichogamytype	inflorescenceSize	seedCount notSeedCount
O25	2	27	base	dichogamous	10	6	90
O25	2	27	top	dichogamous	10	14	291
O27	7	27	base	dichogamous	10	41	130
O27	7	27	top	dichogamous	10	181	124
O33	2	27	base	adichogamous	10	207	229
O33	2	27	base	adichogamous	10	98	165
O33	2	27	top	adichogamous	10	0	0
O33	2	27	top	adichogamous	10	22	103
O38	5	27	base	adichogamous	10	2	74
O38	5	27	base	adichogamous	10	51	257
O38	5	27	top	adichogamous	10	65	187
O50	1	27	base	dichogamous	10	116	76
O50	1	27	top	dichogamous	10	86	26
O51	2	27	base	dichogamous	10	9	141
O51	2	27	base	dichogamous	10	12	76
O51	2	27	top	dichogamous	10	3	64
O51	2	27	top	dichogamous	10	81	351
O54	1	27	base	dichogamous	10	129	60
O54	1	27	top	dichogamous	10	22	165
O55	2	27	base	dichogamous	10	63	220
O55	2	27	base	dichogamous	10	8	156
O55	2	27	top	dichogamous	10	26	162
O55	2	27	top	dichogamous	10	7	77
O57	6	27	base	dichogamous	10	45	264
O57	6	27	top	dichogamous	10	100	100
O9	5	27	base	adichogamous	10	10	170
O9	5	27	top	adichogamous	10	0	67
R19	3	27	base	adichogamous	10	28	116
R19	3	27	top	adichogamous	10	173	312
R25	9	27	base	adichogamous	10	134	49
R50	1	27	base	adichogamous	10	66	340
R50	1	27	top	adichogamous	10	62	264
O23	4	28	base	adichogamous	6	119	295
O23	4	28	top	adichogamous	6	91	144
O25	11	28	base	adichogamous	6	73	256
O25	11	28	top	adichogamous	6	49	120
O27	9	28	base	adichogamous	6	108	319
O27	9	28	top	adichogamous	6	1	24
O38	1	28	base	adichogamous	6	82	211
O38	1	28	top	adichogamous	6	84	388
O5	1	28	base	adichogamous	6	30	176
O5	1	28	top	adichogamous	6	12	165
O55	3	28	base	adichogamous	6	12	97
O55	3	28	top	adichogamous	6	1	166
O57	1	28	base	adichogamous	6	37	428
O57	1	28	top	adichogamous	6	6	81
O58	5	28	base	adichogamous	6	20	81
O58	5	28	top	adichogamous	6	18	87
O70	4	28	base	adichogamous	6	192	242
O70	4	28	top	adichogamous	6	106	120
O9	4	28	base	adichogamous	6	8	112
O9	4	28	top	adichogamous	6	3	170
R22	7	28	base	adichogamous	6	86	131
R22	7	28	top	adichogamous	6	4	226
R25	4	28	base	adichogamous	6	23	167
R25	4	28	top	adichogamous	6	30	75
R27	2	28	base	adichogamous	6	71	237
R27	2	28	top	adichogamous	6	96	248
R30	1	28	base	adichogamous	6	75	178
R30	1	28	top	adichogamous	6	69	193
R46	5	28	base	adichogamous	6	123	73
R46	5	28	top	adichogamous	6	65	167
R6	2	28	base	adichogamous	6	74	262
R6	2	28	top	adichogamous	6	110	300
